name	Sigle	latitude	longitude	code
83109 Tattenhausen	sob250tth	47.9228619	12.702646	105
83112 Wildenwart	sob279wiw	47.8268453	12.3079419	106
83115 Neubeuern	sob300nbr	47.7837478	12.1202544	107
83122 Samerberg	sob301sam	47.7549496	12.1331007	108
83123 Amerang	sob230ame	47.9978967	12.2662864	109
83125 Eggst�tt	sob254egg	47.9308292	12.358487	110
83126 Flintsbach	sob321fli	47.7119349	12.695985	111
83132 Pittenhart	sob231pit	47.9753472	12.3428985	112
83135 Marienberg	sob251mrb	47.9154843	12.1141909	113
83137 Schonstett	sob229sst	47.9896966	12.2129754	114
83139 S�chtenau	sob252soe	47.9203687	12.1621233	115
83224 Rottau	sob303rta	47.7937189	12.4082809	116
83224 Staudach-Egerndach	sob304std	47.785575	12.3894652	117
83229 Aschau	sob302asa	47.7435526	12.2414376	118
83229 Sachrang	sob322sah	47.6898699	12.257211	119
83236 �bersee	sob280ueb	47.8281192	12.436595	120
83242 Reit im Winkel	sob336rtw	47.6675048	12.4519237	121
83246 Oberw�ssen	sob324owo	47.7089449	12.4752755	122
83259 Schleching	sob323sle	47.7194536	12.3210457	123
83308 Oberfeldkirchen	sob209ofk	48.501265	12.5295812	124
83313 Siegsdorf/Vogling	sob282gsd	47.8276754	12.6989765	125
83317 Teisendorf	sob283tsd	47.8485429	12.7544623	126
83317 Weildorf	sob284wdf	47.8620107	12.8664116	127
83324 Ruhpolding	sob305ruh	47.7328567	12.5487193	128
83329 Wonneberg	sob257won	47.9011324	12.6761539	130
83334 Inzell	sob306inz	47.7716361	12.7097442	131
83349 Freutsmoos	sob211frm	48.371639	12.6549699	133
83349 Palling	sob210plg	48.29706	12.5808358	134
83361 Kienberg	sob208knb	48.400333	12.4325685	135
83365 Nu�dorf	sob256nus	47.9143104	12.5539577	136
83367 Petting	sob258ptt	47.9075918	12.792154	137
83374 Traunwalchen	sob233trw	47.9399181	12.5951015	138
83376 Truchtlaching	sob232tru	47.9589741	12.4934019	139
83377 Vachendorf	sob281vah	47.8433757	12.5619764	140
83404 Ainring	sob285air	47.8155395	12.8561597	141
83410 Leobendorf	sob259lbd	47.9215094	12.8909024	142
83410 Triebenbach	sob261trb	47.9036794	12.9489357	143
83413 Geisenfelden	sob236gei	47.9960905	12.7548178	144
83413 Pietling	sob212pie	48.169005	12.7940242	145
83416 Saaldorf	sob260saa	47.8799238	12.8614527	146
83417 Lampoding	sob235lpd	47.943137	12.7969288	147
83454 Anger	sob307ang	47.795837	12.7673232	148
83457 Bayerisch Gmain	sob326byg	47.7140114	12.8672535	149
83458 Schneizlreuth	sob325szr	47.6919923	12.7117227	150
83471 Sch�nau am K�nigssee	sob345soe	47.5932837	12.8385576	151
83483 Bischofswiesen	sob337bsw	47.6518518	12.8829127	152
83486 Ramsau	sob344ram	47.5850023	12.8451934	153
83487 Scheffau	sob338sef	47.6870554	13.53935	154
83527 Winden	sob157win	48.1697332	12.1398379	155
83536 Gars am Inn	sob158grs	48.1547009	12.2236365	156
83539 Farrach	sob205far	48.562834	12.413054	157
83543 Rott am Inn	sob228rai	47.9876642	12.928245	158
83544 Albaching	sob181alb	48.107046	12.769435	159
83547 Loibersdorf	sob183loi	48.948687	12.3383367	160
83549 Aham	sob206aha	48.115168	12.2356592	161
83552 Kirchensur	sob207kis	48.413053	12.3324003	162
83553 Frauenneuharting	sob204fnh	48.353661	12.39914	163
83558 Maitenbeth	sob156mai	48.1480769	12.581796	164
83559 Mittergars	sob159mtg	48.1526862	12.3256182	165
83564 Soyen	sob182soy	48.1057063	12.1488004	166
83607 Gro�hartpenning	sob272ghp	47.8449433	11.6691785	167
83620 Feldolling	sob248feo	47.8974812	11.8449792	168
83623 Ascholding	sob244asd	47.887998	11.4862843	169
83623 Dietramszell	sob271drz	47.8650139	11.4959227	170
83623 Fra�hausen/Lochen	sob245frh	47.9154454	11.5779693	171
83624 Otterfing	sob246otf	47.9091808	11.629235	172
83626 Valley	sob247val	47.8884123	11.6925237	173
83627 Wall	sob296wal	47.789385	11.7682092	174
83627 Warngau	sob273war	47.8189845	11.6682712	175
83646 Kirchbichl	sob294kbi	47.8007205	11.5672832	176
83661 Lenggries	sob332lgr	47.6021793	11.3659222	177
83666 Waakirchen	sob295waa	47.7695685	11.6041527	178
83670 Oberbuchen	sob293obu	47.7673765	11.4780192	179
83673 Bichl	sob316bih	47.7195025	11.3932409	180
83674 Gai�ach	sob317gai	47.7176666	11.5449273	181
83676 Jachenau	sob343jah	47.5928525	11.3476407	182
83703 Gmund am Tegernsee	sob318gmu	47.7540364	11.697087	183
83708 Kreuth	sob333krt	47.6411273	11.6563032	184
83714 Miesbach	sob297msb	47.7908753	11.8048895	185
83727 Schliersee	sob319sls	47.6825704	11.727919	186
83730 Fischbachau	sob320fsb	47.7294442	11.8836247	187
83730 Hundham	sob298huh	47.7571966	11.9365199	188
83735 Bayrischzell	sob334byz	47.6596114	11.9206402	189
83737 Irschenberg	sob275irs	47.8192239	11.8248763	190
83737 Reichersdorf	sob274rhd	47.8414241	11.8327789	191
84028 Landshut	snb164lah	48.546899	12.1286625	192
84030 Oberglaim	snb145ogl	48.6096135	12.1093075	193
84048 Lindkirchen	snb120lik	48.6720242	11.7856837	194
84051 Essenbach	snb146ese	48.6198252	12.1478028	195
84056 Pattendorf		48.7193727	12.3972	196
84057 Langenhettenbach		48.7168905	12.2321439	197
84061 Martinshaun	snb125mhn	48.6678358	12.2114785	198
84066 Mallersdorf	snb080mld	48.7800024	12.1411533	199
84069 Birnbach	sno334bir	48.7847083	12.1088326	200
84069 Laichling	sno331unt	48.8556308	12.14731	201
84072 Abens	sob060abe	48.5333132	11.6723064	202
84076 Pfeffenhausen	snb122pfe	48.6719077	11.8830628	203
84079 G�ndlkofen	snb163gun	48.5339641	12.251768	204
84082 Asbach		48.7381238	12.3133125	205
84082 Laberweinting	snb081lab	48.7919412	12.1770234	206
84085 Schneidhart	snb058sdh	48.8484035	12.442713	207
84088 Hofendorf		48.7295055	12.1446939	208
84091 Attenhofen	snb121ath	48.6578483	11.814105	209
84097 Herrngiersdorf	snb079hgd	48.7847079	11.9996128	210
84098 Oberergoldsbach	snb124oer	48.6664121	12.1509092	211
84098 T�rkenfeld	snb123tur	48.674168	12.70555	212
84100 Niederaichbach	snb147nab	48.5926218	12.2541988	213
84101 Obers��bach	snb143osu	48.5992324	11.9001	214
84103 Unholzing	snb126unh	48.6579471	12.3290052	215
84104 Enzelhausen	sob054ezh	48.5829092	11.7444378	216
84106 Volkenschwand	snb142vol	48.6085794	11.825909	217
84107 Weihmichl	snb144wmi	48.6239275	11.98611	218
84130 Frauenbiburg	snb149frb	48.5945055	12.4771628	219
84137 Haarbach	snb195har	48.429145	12.3070192	220
84137 Seyboldsdorf	snb182sey	48.4819169	12.3321117	221
84140 H�lsbrunn	snb184hol	48.4740775	12.5009302	222
84140 Reicheneibach	snb185rei	48.464754	12.613586	223
84140 Thambach	sob083tmb	48.4160156	12.5155764	224
84144 Geisenhausen	snb181gei	48.4625866	12.1979832	225
84149 Babing	snb206bab	48.3626501	12.243942	226
84152 Mengkofen		48.7220145	12.3600778	227
84155 Aich	snb196aic	48.4268083	12.4019567	228
84160 Frontenhausen	snb168fro	48.5203841	12.4565774	229
84164 Dornwang	snb127dow	48.6659491	12.4305328	230
84164 Th�rnthenning	snb128ttg	48.6833449	12.5109266	231
84166 Jenkofen	snb165jen	48.5324162	12.234281	232
84168 Aham	snb167aha	48.5240514	12.3908132	233
84168 Vilsheim	snb180vil	48.4443713	12.792032	234
84171 Baierbach	snb194bba	48.4133187	12.1568306	235
84174 Haunwang	snb179hwg	48.4741133	12.413452	236
84175 Schalkham	snb183skm	48.4873936	12.3454478	237
84178 Kr�ning	snb166kro	48.5331364	12.3003902	238
84180 Weigendorf	snb148wgd	48.5923339	12.423291	239
84189 Wurmsham	snb207wur	48.3490942	12.2933114	240
84323 Wolfsegg	snb197wol	48.4095497	12.6036614	241
84326 Falkenberg	snb186fal	48.4679019	12.6606351	242
84329 Rogglfing	snb209rog	48.3509329	12.8377857	243
84332 Hebertsfelden	snb199heb	48.4323657	12.7492902	244
84332 Niedernkirchen	snb187nki	48.4664293	12.8090731	245
84333 Malgersdorf	snb170mgd	48.5252455	12.7087295	246
84335 Mitterskirchen	snb208mik	48.3509893	12.6977091	247
84339 Huldsessen	snb198hul	48.3987481	12.6918814	248
84347 Waldhof	snb189whf	48.4794355	12.9870353	249
84359 Eggstetten	snb218egs	48.292754	12.9751971	250
84364 Asenham	snb202ase	48.4046741	13.670459	251
84364 Untertattenbach	snb190utb	48.4435413	13.65023	252
84367 Gumpersdorf	snb217gum	48.2790368	12.8660093	253
84367 Randling	snb210ran	48.3241179	12.926209	254
84371 Voglarn	snb201vog	48.3803195	13.42779	255
84375 Kirchdorf am Inn	snb221kdi	48.2439906	12.8823733	256
84378 N�ham	snb188noh	48.4831894	12.8956566	257
84381 Johanniskirchen	snb173joh	48.5472654	12.8871932	258
84384 Wittibreut	snb211wit	48.3423752	12.979771	259
84385 Amsham	snb174ams	48.5130847	13.694683	260
84389 Postm�nster	snb200pos	48.4291831	12.8257423	261
84405 Dorfen	sob109dor	48.276429	12.922917	262
84416 Inning am Holz	sob093ini	48.3444256	12.369987	263
84416 Taufkirchen/Vils	sob094tkh	48.3454533	12.736022	264
84419 Oberornau	sob132oor	48.2164371	12.2407738	265
84419 Schwindegg	sob110swe	48.245967	12.2006883	266
84424 Isen	sob130isn	48.1877565	11.9891326	267
84427 Sankt Wolfgang	sob131swg	48.2213171	12.859538	268
84428 Ranoldsberg/Buchbach	sob111ran	48.3089824	12.3302752	269
84431 Rattenkirchen	sob133rtk	48.2381774	12.3103385	270
84432 Hohenpolding	sob082hpo	48.3943641	12.95216	271
84434 Kirchberg	sob081kib	48.4066943	12.275595	272
84435 Matzbach	sob108mzb	48.2792255	12.433663	273
84478 P�rten	sob134pue	48.2003734	12.4203417	274
84494 Niedertaufkirchen	sob096ntk	48.3479364	12.4895279	275
84494 Oberhofen	sob113oho	48.2862474	12.5196902	276
84494 Rossbach	sob097rsb	48.3552949	12.5797963	277
84508 Burgkirchen an der Alz	sob163bkh	48.1439323	12.6391068	278
84508 Engelsberg	sob185egb	48.1297513	12.4502727	279
84529 Asten	sob187atn	48.97741	12.7193304	280
84529 Tittmoning	sob188ttm	48.500345	12.6746018	281
84533 Haiming	sob139hai	48.2139977	12.8153242	282
84533 Stammham	sob020stm	48.2489486	12.8575619	283
84539 Zangberg	sob112zgb	48.2612386	12.3218322	284
84543 Winh�ring	sob114whg	48.2705148	12.628951	285
84547 Emmerting	sob138emm	48.2043218	12.737867	286
84550 Feichten an der Alz	sob186fei	48.88718	12.565539	287
84556 Kastl	sob137kas	48.183391	12.6437575	288
84561 Mehring	sob164meh	48.1853097	12.7205067	289
84564 Sch�nberg	sob095soe	48.3450438	12.3883007	290
84565 Oberneukirchen	sob161onk	48.1687019	12.4814954	291
84567 Perach	sob116per	48.2905364	12.7144533	292
84570 Gr�nbach	sob135gru	48.2027149	12.5343333	293
84571 Reischach	sob115rsh	48.2932114	12.6478712	294
84574 Taufkirchen	sob160tfk	48.1423289	12.4107599	295
84576 Teising	sob136tei	48.2305178	12.5929233	296
84579 Unterneukirchen	sob162unk	48.1670429	12.5864235	297
85051 Hundszell	sob036huz	48.727678	11.3949371	298
85072 Wintershof	sob009wth	48.9071581	11.1685038	299
85077 Manching	sob037man	48.7167405	11.4278523	300
85080 Gaimersheim	sob027gmh	48.8136928	11.2917153	301
85092 K�sching	sob028koe	48.8424003	11.449653	302
85095 Zandt	sob012zan	48.9253227	11.4853796	303
85098 Gro�mehring	sob029gmh	48.7830544	11.4771968	304
85104 Wackerstein	sob030wak	48.7892599	11.6563866	305
85107 Baar	sob044baa	48.6687414	11.4659215	306
85110 Attenzell	sob110att	48.9048505	11.3828809	307
85111 Adelschlag	sob017ads	48.8459018	11.1210274	308
85113 B�hmfeld	sob019boe	48.8727722	11.3386759	310
85119 Ernsgaden	sob038ern	48.7255497	11.534967	311
85123 Pobenhausen	sob043pob	48.6627558	11.3750512	312
85125 Enkering	sob005enk	48.991595	11.3538882	313
85128 Nassenfels	sob025nsf	48.8106816	11.1778255	314
85128 Wolkertshofen	sob026wkh	48.7992977	11.2574767	315
85129 Oberdolling	sob021odo	48.8373367	11.5663829	316
85131 Pollenfeld	sob003pol	48.9393351	11.1383447	317
85135 Stadelhofen	sob001sth	49.346347	11.1869609	318
85137 Rapperszell	sob010rpz	48.9330093	11.2811055	319
85229 Ainhofen	sob074aif	48.4010981	11.374711	320
85232 Lauterbach	sob100lau	48.2679843	11.2964418	321
85232 Unterbachern	sob101uba	48.279896	11.3761791	322
85235 Ebertshausen	sob099ebh	48.2880275	11.2165822	323
85235 Pfaffenhofen an der Glonn	sob098pff	48.2974145	11.1132083	324
85238 Petershausen	sob075pth	48.4083212	11.4409925	325
85241 Hebertshausen	sob102heb	48.2953708	11.4407249	326
85244 Biberbach	sob087bbb	48.3471531	11.4895953	327
85250 Pipinsried	sob073pip	48.4060724	11.2872373	328
85250 Wollomoos	sob072wmo	48.4013086	11.1915465	329
85253 Gro�berghofen	sob085gbh	48.3206818	11.3097008	330
85276 Angkofen	sob058akf	48.56077	11.4866285	331
85283 Gebrontshausen	sob053geh	48.5958962	11.6576575	332
85290 Rottenegg	sob046rte	48.6487831	11.660235	333
85290 Schillwitzried	sob039swr	48.7086158	11.6293766	334
85293 Reichertshausen	sob061rhh	48.4544876	11.4404715	335
85296 Rohrbach	sob052rob	48.6154569	11.5029595	336
85301 Geisenhausen	sob059gsh	48.5531743	11.5865065	337
85302 Gerolsbach	sob065grb	48.492667	11.2867004	338
85304 Ilmm�nster	sob066ilm	48.493342	11.480265	339
85307 Paunzhausen	sob067pzh	48.476675	11.5309084	340
